song,artist,price,downloads,total_amount,month,year,company
Boy Fire,Sheebah ft Selecta Jeff,0,325339,0,November,2021,MTN
Malamu,Pallaso,0,272408,0,November,2021,MTN
Victor Ruz,Official,0,118699,0,November,2021,MTN
Ensonga,Carol Nantongo ft Kabuye Sembogga,0,111840,0,November,2021,MTN
Nalonda Nemala,Pallaso,700,40941,28658700,November,2021,MTN
My miss,Allan Toniks,700,32597,22817900,November,2021,MTN
Nalonda Nemala,Pallaso,0,23173,0,November,2021,MTN
My miss,Allan Toniks,0,16256,0,November,2021,MTN
Wansala,Victor Ruz,700,7947,5562900,November,2021,MTN
Yolo,Sheebah,700,5666,3966200,November,2021,MTN
Wansala,Victor Ruz,0,4483,0,November,2021,MTN
Yolo,Sheebah,0,3099,0,November,2021,MTN
Tosiimula,Viola Nakitende,700,845,591500,November,2021,MTN
Mugabe Wobusingye,St Kizito Choir Kigoowa Parish,700,790,553000,November,2021,MTN
Empeta,Sheebah ft King Saha,700,466,326200,November,2021,MTN
BODMAS,PABLO,700,354,247800,November,2021,MTN
Your Body,Naira Ali,700,325,227500,November,2021,MTN
Love legend,Victor Ruz,700,297,207900,November,2021,MTN
Nkomye Ku Gwe,Violah Nakitende,700,276,193200,November,2021,MTN
Tarihinda ,Cecile Kayirebwa,700,259,181300,November,2021,MTN
Sharp Shooter,Chosen Blood,700,247,172900,November,2021,MTN
Taata Bulamu,Fille,700,218,152600,November,2021,MTN
Ani Oyo,Pallaso,700,217,151900,November,2021,MTN
Silwana,Carol Nantongo ft Sheebah,700,204,142800,November,2021,MTN
Tumbiza Sound,EeZzy,700,196,137200,November,2021,MTN
Singa,Ykee Benda,700,176,123200,November,2021,MTN
Boy Fire,Sheebah ft Selecta Jeff,700,170,119000,November,2021,MTN
Abajulizi Abettendo,St Kizito Choir Kigoowa Parish,700,164,114800,November,2021,MTN
Replace Me,Sheebah,700,163,114100,November,2021,MTN
Nkutuse,Sheebah,700,158,110600,November,2021,MTN
Radio Man,Ykee Benda ft Weasel,700,152,106400,November,2021,MTN
Malamu,Pallaso,700,151,105700,November,2021,MTN
Luno Olugendo,Judith Babirye,700,142,99400,November,2021,MTN
Mpa Love,King Saha ft Weasel,700,139,97300,November,2021,MTN
Nakyuka,Sheebah,700,137,95900,November,2021,MTN
Ninda,Sheebah,700,137,95900,November,2021,MTN
Beera Nange,Sheebah,700,137,95900,November,2021,MTN
Onanagiza,Dre Cali ft Lydia Jazmine,700,127,88900,November,2021,MTN
Sweet Sensation,Sheebah ft Orezi,700,122,85400,November,2021,MTN
